Mã cổ phiếu,Chỉ số tài chính theo quý,Chỉ số giá thị trường trên thu nhập (P/E),Chỉ số giá thị trường trên giá trị sổ sách (P/B)
MBB,Q4/2023,4.37,1.01
MBB,Q3/2023,4.52,1.05
MBB,Q2/2023,4.88,1.06
MBB,Q1/2023,4.28,0.98
MBB,Q4/2022,3.95,0.97
MBB,Q3/2022,4.37,1.19
MBB,Q2/2022,5.73,1.29
MBB,Q1/2022,8.38,1.86
MBB,Q4/2021,7.4,1.75
MBB,Q3/2021,7.46,1.79
MBB,Q2/2021,11.12,2.17
MBB,Q1/2021,7.2,1.47
MBB,Q4/2020,6.91,1.27
MBB,Q3/2020,5.72,0.99
MBB,Q2/2020,4.74,0.91
MBB,Q1/2020,3.95,0.78
MBB,Q4/2019,5.76,1.27
MBB,Q3/2019,6.6,1.38
MBB,Q2/2019,6.42,1.24
MBB,Q1/2019,6.99,1.31
MBB,Q4/2018,6.21,1.23
MBB,Q3/2018,8.51,1.5
MBB,Q2/2018,10.3,1.52
MBB,Q1/2018,14.68,2.03
MBB,Q4/2017,12.6,1.56
MBB,Q3/2017,9.53,1.31
MBB,Q2/2017,10.96,1.4
MBB,Q1/2017,8.16,1
MBB,Q4/2016,7.79,0.9
MBB,Q3/2016,8.9,0.94
MBB,Q2/2016,8.62,0.99
MBB,Q1/2016,7.64,0.97
MBB,Q4/2015,7.47,1.01
MBB,Q3/2015,6.78,1.06
MBB,Q2/2015,6.73,0.95
MBB,Q1/2015,6.34,0.9
MBB,Q4/2014,6,0.92
MBB,Q3/2014,6.47,0.94
MBB,Q2/2014,6.73,0.96
MBB,Q1/2014,7.54,1.14
MBB,Q4/2013,5.92,0.94
MBB,Q3/2013,6.6,0.96
MBB,Q2/2013,6.02,0.98
MBB,Q1/2013,5.81,0
